SRC Prefix, SRC Number Min Length, SRC Number Max Length, DST Prefix, Price
-, 10, 13, 1, 0.005
-, 0.000, 100, 972, 0.005
-, 0.000, 100, 66, 0.005
-, 0.000, 100, 61, 0.005
-, 0.000, 100, 56, 0.005
-, 0.000, 100, 48, 0.005
-, 0.000, 100, 46, 0.005
-, 0.000, 100, 45, 0.005
-, 0.000, 100, 44, 0.005
-, 0.000, 100, 420, 0.005
-, 0.000, 100, 40, 0.005
-, 0.000, 100, 380, 0.005
-, 0.000, 100, 358, 0.005
-, 0.000, 100, 33, 0.005
-, 0.000, 100, 32, 0.005
-, 0.000, 100, 31, 0.005
-, 0.000, 100, 27, 0.005
-, 0.000, 100, 821, 0.006
-, 0.000, 100, 52, 0.012
-, 4, 6, 1, 0.012
-, 0.000, 100, 370, 0.015
