Abkhazia,7840,0.165,,
Afghanistan,93,0.2805,,
Albania,355,0.0901,,
Algeria,213,0.2805,,
American Samoa,1684,0.0901,,
Andorra,376,0.0901,,
Angola,244,0.1232,,
Anguilla,1264,0.0901,,
Antigua and Barbuda,1268,0.0901,,
Argentina,54,0.12,,
Armenia,374,0.1875,,
Aruba,297,0.0901,,
Australia,61,0.0374,0.04,
Austria,43,0.0396,,
Azerbaijan,994,0.385,,
Bahamas,1242,0.0736,,
Bahrain,973,0.0901,,
Barbados,1246,0.0901,,
Belarus,375,0.2475,,
Belgium,32,0.0968,0.112,
Belize,501,0.12,,
Benin,229,0.12,,
Bermuda,1441,0.0901,,
Bhutan,975,0.0901,,
Bolivia,591,0.12,,
Bosnia and Herzegovina,387,0.1027,,
Botswana,267,0.0901,,
Brazil,55,0.0695,,
British Virgin Islands,1284,0.0901,,
Brunei Darussalam,673,0.0695,,
Bulgaria,359,0.1568,,
Burkina Faso,226,0.12,,
Burundi,257,0.12,,
Cambodia,885,0.198,,
Cameroon,237,0.12,,
Canada,1,0.0312,0.012,
Cape Verde,238,0.0901,,
Cayman Islands,1345,0.0901,,
Central African Rep.,236,0.0901,,
Chad,235,0.0901,,
Chile,56,0.0975,Santiago (56-2) - 0.0504,
,,,Mobile (56-9) - 0.0684,
China,86,0.0526,,
Colombia,57,0.0304,,
Comoros,269,0.0901,,
Congo,242,0.12,,
Cook Island,682,0.0901,,
Costa Rica,506,0.0841,,
Ivory Coast,225,0.0901,,
Croatia,385,0.1269,,
Cuba,53,0.0934,,
Cyprus,357,0.0901,,
Czech Rep.,420,0.099,0.096,
Denmark,45,0.0752,0.112,
Djibouti,253,0.0901,,
Dominica,1767,0.0901,,
Ecuador,593,0.1688,,
Egypt,20,0.14,,
El Salvador,503,0.12,,
"Congo, Democratic Republic",243,0.1041,,
Equatorial Guinea,240,0.0901,,
Eritrea,291,0.1584,,
Estonia,372,0.0896,,
Ethiopia,251,0.2124,,
Faroe Islands,298,0.063,,
Fiji,679,0.0901,,
Finland,358,0.0845,0.1056,
France,33,0.0684,,
French Polynesia,689,0.0901,,
Gabon,241,0.12,,
Gambia,220,0.1101,,
Georgia,995,0.1496,,
Germany,49,0.1003,,
Ghana,233,0.264,,
Gibraltar,350,0.0901,,
Greece,30,0.0841,,
Greenland,299,0.0304,,
Grenada,1473,0.0901,,
Guatemala,502,0.2394,,Increase (International)
Guinea,224,0.0901,,
Guinea-Bissau,245,0.0901,,
Guyana,592,0.12,,
Haiti,509,0.12,,
Honduras,504,0.0915,,
Hong Kong,852,0.0971,,
Hungary,36,0.0901,,
Iceland,354,0.0869,0.1041,
India,91,0.0962,,
Indonesia,62,0.3388,,
Iran,98,0.385,,
Iraq,964,0.297,,
Ireland,353,0.0851,,
Israel,972,0.2145,0.02,
Italy,39,0.0736,,
Jamaica,1876,0.0901,,
Japan,81,0.099,,
Jordan,962,0.264,,
Kazakhstan,7,0.3,,
Kenya,254,0.264,,
South Korea,82,0.0304,,
Kosovo,383,0.2558,,
Kuwait,965,0.2805,,
Kyrgyzstan,996,0.2805,,
Lao P.D.R.,856,0.12,,
Latvia,371,0.0495,,
Lebanon,961,0.2311,,
Lesotho,266,0.12,,
Liberia,231,0.12,,
Libya,218,0.297,,
Liechtenstein,423,0.063,,
Lithuania,370,0.0554,0.0495,New Breakout
Luxembourg,352,0.0901,,
"Macao, China",853,0.0526,,
Macedonia,389,0.0901,,
Madagascar,261,0.0901,,
Malawi,265,0.12,,
Malaysia,60,0.1408,,
Maldives,960,0.0901,,
Mali,223,0.12,,
Malta,356,0.0884,,
Mauritania,222,0.0901,,
Mauritius,230,0.12,,
Mexico,52,0.3111,0.069,
Moldova,373,0.0901,,
Monaco,377,0.12,,
Mongolia,976,0.2211,,
Montegero,382,0.0901,,
Montseerat,1664,0.0901,,
Morocco,212,0.1815,,
Mozambique,258,0.12,,
Myanmar,95,0.264,,
Namibia,264,0.0589,,
Nepal,977,0.2475,,
Netherlands,31,0.1122,0.1056,
Netherlands Antilles,599,0.12,,
New Calendonia,687,0.0901,,
New Zealand,64,0.16,,
Nicaragua,505,0.12,,
Niger,227,0.12,,
Nigeria,234,0.264,,
Norway,47,0.0792,,
Oman,968,0.1408,,
Pakistan,92,0.3234,,
Panama,507,0.12,,
Papua New Guinea,675,0.0901,,
Paraguay,595,0.1523,,
Peru,51,0.12,,
Philippines,63,0.21,,
Poland,48,0.033,0.034,
Portugal,351,0.0374,,
Puerto Rico,1,0.0901,,
Qatar,974,0.224,,
Reunion,262,0.0901,,
Romania,40,0.0901,0.0656,
Russian Federation,7,0.0901,,
Rwanda,250,0.0901,,
Saint Kitts and Nevis,1869,0.0901,,
Saint Lucia,1758,0.0901,,
Saint Vincent and the Grenadines,1784,0.0901,,
San Marino,378,0.0841,,
Saudi Arabia,966,0.1584,,
Senegal,221,0.12,,
Serbia,381,0.2756,,
Seychelles,248,0.282,,
Sierra Leone,232,0.12,,
Singapore,65,0.0765,,Decrease (International)
Slovakia,421,0.084,,
Slovenia,386,0.0901,,
Solomon Islands,677,0.1785,,
Somalia,252,0.0901,,
South Africa,27,0.1496,0.05,
South Sudan,211,0.0901,,
Spain,34,0.0495,,
Sri Lanka,94,0.308,,
Sudan,249,0.0901,,
Suriname,597,0.12,,
Swaziland,268,0.0901,,
Sweden,46,0.0526,0.0864,
Switzerland,41,0.132,,
Syria,963,0.24,,
Taiwan,886,0.12,,
Tajikistan,992,0.3318,,
Tanzania,255,0.12,,
Thailand,66,0.0304,0.022,
Togo,228,0.0901,,
Tonga,676,0.0901,,
Trinidad and Tobago,1868,0.0901,,
Tunisia,216,0.264,,
Turkey,90,0.0901,,
Turkmenistan,993,0.198,,
Turks and Caicos Islands,1649,0.0901,,
Uganda,256,0.0901,,
Ukraine,380,0.198,,
United Arab Emirates,971,0.1408,,
United Kingdom,44,0.0506,0.049,
United States,1,n/a,,
Uruguay,598,0.1296,,
Uzbekistan,998,0.294,,
Vanuatu,678,0.0901,,
Venezuela,58,0.12,,
Vietnam,84,0.165,,
Yemen,967,0.0901,,
Zambia,260,0.264,,
Zimbabwe,263,0.2805,,
